,YEAR,AREA,PROD.,YIELD
0,1990/91,,,
1,1991/92,,,
2,1992/93,,,
3,1993/94,,,
4,1994/95,,,
5,1995/96,,,
6,1996/97,,,
7,1997/98,,,
8,1998/99,,,
9,1999/00,,,
10,2000/01,,,
11,2001/02,,,
12,2002/03,,,
13,2003/04,,,
14,2004/05,,,
15,2005/06,,,
16,2006/07,,,
17,2007/08,,,
18,2008/09,,,
19,2009/10,,,
20,2010/11,10304.0,8841.0,858.0
21,2011/12,10339.0,10021.0,969.0
22,2012/13,10681.0,10056.0,941.0
23,2013/14,10510.0,10335.0,983.0
24,2014/15,10819.0,10870.0,1005.0
25,2015/16,10842.0,11641.0,1074.0
