Fiscal_Year,Indicator,%_Change,%_GDP
1974/75,Agriculture GDP .,,68.88
1975/76,Agriculture GDP .,0.52,66.09
1976/77,Agriculture GDP .,-9.62,60.12
1977/78,Agriculture GDP .,11.81,58.88
1978/79,Agriculture GDP .,15.06,51.15
1979/80,Agriculture GDP .,1.16,57.9
1980/81,Agriculture GDP .,14.72,60.75
1981/82,Agriculture GDP .,14.22,57.17
1982/83,Agriculture GDP .,7.72,56.42
1983/84,Agriculture GDP .,18.28,57.44
1984/85,Agriculture GDP .,0.85,48.86
1985/86,Agriculture GDP .,19.22,48.69
1986/87,Agriculture GDP .,12.85,47.95
1987/88,Agriculture GDP .,20.02,47.79
1988/89,Agriculture GDP .,15.83,47.69
1989/90,Agriculture GDP .,18.55,48.8
1990/91,Agriculture GDP .,9.7,46
1991/92,Agriculture GDP .,17.68,43.59
1992/93,Agriculture GDP .,7.57,40.87
1993/94,Agriculture GDP .,14.98,40.44
1994/95,Agriculture GDP .,6.18,39.04
1995/96,Agriculture GDP .,13.24,38.93
1996/97,Agriculture GDP .,12.27,38.78
1997/98,Agriculture GDP .,3.41,37.39
1998/99,Agriculture GDP .,17.67,38.7
1999/00,Agriculture GDP .,9.64,38.24
2000/01,Agriculture GDP .,7.23,35.25
2001/02,Agriculture GDP .,6.72,36.15
2002/03,Agriculture GDP .,4.04,35.11
2003/04,Agriculture GDP .,7.71,34.68
2004/05,Agriculture GDP .,7.12,33.82
2005/06,Agriculture GDP .,6.19,32.37
2006/07,Agriculture GDP .,7.14,31.16
2007/08,Agriculture GDP .,8.98,30.31
2008/09,Agriculture GDP .,25.23,31.32
2009/10,Agriculture GDP .,27.85,33.18
2010/11,Agriculture GDP .,22.58,35.49
2011/12,Agriculture GDP .,6.05,33.68
2012/13,Agriculture GDP .,5.76,32.1
2013/14,Agriculture GDP .,11.31,30.83
2014/15,Agriculture GDP .,5.31,29.94
2015/16,Agriculture GDP .,4.7,29.71
2016/17,Agriculture GDP .,7.49,27.62
